Wall time,Step,Value
1510792178.666712,42,88.53386688232422
1510792179.8072448,45,87.09651184082031
1510792190.8409064,71,70.26944732666016
1510792201.0385022,94,45.60005569458008
1510792231.1633127,167,21.81564712524414
1510792246.9070082,229,2.2251100540161133
1510792247.8834267,234,2.068058729171753
1510792252.0413575,255,1.1692345142364502
1510792255.851563,273,0.6220133304595947
1510792262.6051943,308,0.23144130408763885
1510792263.00579,310,0.22255903482437134
1510792264.5927503,318,0.1884656399488449
1510792295.3590312,474,0.04963750019669533
1510792307.1881626,536,0.036852166056632996
1510792315.0612159,579,0.030299900099635124
1510792316.3431876,586,0.03011431358754635
1510792325.3112795,634,0.025751780718564987
1510792327.8153315,647,0.02441568858921528
1510792332.5054448,671,0.02389746718108654
1510792340.4548907,714,0.02068221941590309
1510792342.016158,722,0.020293889567255974
1510792354.7363765,785,0.01813763752579689
1510792358.1550667,802,0.017251361161470413
1510792359.3728771,808,0.015657782554626465
1510792364.7921045,836,0.015889348462224007
1510792391.9682982,971,0.012998498044908047
1510792400.327362,1014,0.012902230955660343
1510792410.3167176,1066,0.012215173803269863
1510792417.4801018,1104,0.011118599213659763
1510792432.8578143,1180,0.010339811444282532
1510792447.6137383,1261,0.010042465291917324
1510792457.952365,1316,0.009265467524528503
1510792458.6223397,1319,0.01071245688945055
1510792461.8968687,1333,0.00901278480887413
1510792462.937761,1337,0.008287003263831139
1510792472.0754755,1385,0.009198492392897606
1510792473.3297389,1392,0.010112235322594643
1510792481.2751386,1436,0.009321059100329876
1510792487.4154878,1466,0.009550152346491814
1510792498.1864686,1523,0.008915594778954983
1510792503.7176816,1552,0.010010303929448128
1510792506.855338,1568,0.008613922633230686
1510792509.7829533,1584,0.00768698938190937
1510792530.8507652,1691,0.008328333497047424
1510792538.8826773,1734,0.008413463830947876
1510792539.3826993,1737,0.007638543378561735
1510792559.7224498,1844,0.008375456556677818
1510792563.7243314,1866,0.007977158762514591
1510792565.6762128,1877,0.007932977750897408
1510792573.2088132,1917,0.00803010631352663
1510792576.218941,1934,0.00748496362939477
1510792578.779005,1947,0.006981431040912867
1510792595.7610786,2036,0.008012662641704082
1510792606.9462502,2096,0.00756145641207695
1510792623.6919382,2187,0.007623116951435804
1510792626.0790443,2199,0.007031602784991264
1510792632.0929255,2231,0.007555970456451178
1510792633.1764095,2237,0.0065530468709766865
1510792637.9586291,2262,0.007894223555922508
1510792646.1192162,2307,0.006952652242034674
1510792661.9118478,2389,0.00741646159440279
1510792670.6540291,2436,0.00858266744762659
1510792673.789516,2453,0.0075167021714150906
1510792674.1488743,2455,0.0072279153391718864
1510792675.073261,2460,0.007626187987625599
1510792679.7303421,2485,0.006874878890812397
1510792679.9737995,2486,0.007224611006677151
1510792682.4574802,2498,0.006741693709045649
1510792683.5210142,2503,0.006891343276947737
1510792689.4612815,2532,0.007559089455753565
1510792692.3637125,2547,0.008701551705598831
1510792717.6003976,2685,0.007930888794362545
1510792727.9147933,2740,0.00759929371997714
1510792769.6061783,2967,0.00732717290520668
1510792781.7758799,3038,0.007247786037623882
1510792782.301159,3041,0.005985875613987446
1510792792.2924118,3099,0.0072484505362808704
1510792803.1984675,3161,0.007036819122731686
1510792815.0443804,3230,0.006608190946280956
1510792817.5546389,3244,0.006930905859917402
1510792817.908291,3246,0.005957179702818394
1510792818.0862951,3247,0.006155064329504967
1510792828.3590884,3305,0.006804265547543764
1510792858.7626295,3480,0.006458991672843695
1510792883.0578458,3618,0.006985398940742016
1510792883.4145064,3620,0.00694589177146554
1510792892.03218,3670,0.006761135999113321
1510792904.6459827,3741,0.005623629316687584
1510792913.9461877,3793,0.007579213008284569
1510792917.6363518,3814,0.006297223269939423
1510792918.8228822,3821,0.006018347106873989
1510792937.2569852,3928,0.006194762419909239
1510792942.1005955,3956,0.00643989909440279
1510792946.8594222,3984,0.00624095881357789
1510792956.1083984,4036,0.00632525933906436
1510792967.0480018,4098,0.006979587022215128
1510792983.916005,4196,0.0068224226124584675
1510792989.3647773,4227,0.006993691902607679
1510792990.2249784,4232,0.007949195802211761
1510793004.74668,4317,0.006243409588932991
1510793005.0890336,4319,0.006208883598446846
1510793019.2045357,4400,0.00707111693918705
1510793035.662118,4492,0.006564727984368801
1510793038.6751337,4509,0.006402111612260342
1510793042.883396,4530,0.007205270696431398
1510793066.756176,4664,0.007069183513522148
1510793067.4946985,4668,0.005916575901210308
1510793068.908736,4676,0.006368234753608704
1510793088.7772214,4788,0.007073487155139446
1510793091.1115072,4802,0.006248152814805508
1510793097.576618,4840,0.006497642956674099
1510793099.6930892,4852,0.006492256186902523
1510793107.1815405,4894,0.006152506917715073
1510793120.3669589,4971,0.0059951492585241795
1510793133.8722763,5050,0.005581567995250225
1510793134.1953666,5052,0.006909199524670839
1510793143.5687017,5106,0.006031988654285669
1510793148.6986825,5134,0.006041287444531918
1510793166.852264,5239,0.005907746497541666
1510793185.185149,5345,0.006056857295334339
1510793187.753349,5359,0.007845369167625904
1510793198.6707978,5420,0.006280962843447924
1510793220.9092367,5549,0.006505039986222982
1510793243.6429145,5679,0.005678562913089991
1510793251.3008354,5723,0.006691201590001583
1510793263.625662,5808,0.0056370883248746395
1510793266.165249,5828,0.005991896148771048
1510793270.9636948,5864,0.006907051429152489
1510793271.8664365,5871,0.0056268260814249516
1510793276.4064596,5907,0.0053539094515144825
1510793279.038222,5928,0.005339494906365871
1510793286.8809047,5990,0.006121831946074963
1510793289.4247198,6010,0.006173308938741684
1510793303.5864928,6121,0.00559368496760726
1510793304.8553605,6131,0.006294834427535534
1510793313.6507044,6200,0.005708691198378801
1510793315.2843635,6213,0.006396281532943249
1510793316.0401947,6219,0.005886470433324575
1510793317.6814387,6232,0.0057341973297297955
1510793324.9127302,6289,0.006537771783769131
1510793328.046788,6312,0.005088847130537033
1510793336.110122,6376,0.005593155510723591
1510793354.3773355,6520,0.005964179988950491
1510793362.4605875,6574,0.006504252552986145
1510793366.1395175,6603,0.006008568219840527
1510793372.913226,6657,0.006430051289498806
1510793377.8519025,6696,0.006392949260771275
1510793378.2304442,6699,0.005994544364511967
1510793379.7272117,6711,0.005940882954746485
1510793383.621206,6742,0.005912822671234608
1510793397.9787278,6854,0.0051500811241567135
1510793412.1917908,6966,0.006902956869453192
1510793415.4607315,6992,0.006796013563871384
1510793430.0473816,7106,0.005186518654227257
1510793431.0701947,7114,0.0066196913830935955
1510793436.2733724,7155,0.005981686990708113
1510793448.2448335,7247,0.005894552916288376
1510793456.4579787,7311,0.005213500466197729
1510793462.5237002,7359,0.006451348774135113
1510793465.410158,7382,0.006082828622311354
